"publishedTimeText","simpleText","votes","author","isReply","isHearted","isPinned","isPaid","paidAmount","isSponsor","sponsorshipMonths"
"1 month ago","Who came here bc of odd one is out?","3","@isaohmushoom-rk8fk","false","false","false","false","","false",""
"1 month ago","😂 me","0","@kakankonyirenda2420","true","false","false","false","","false",""
"1 month ago"," @kakankonyirenda2420  Lol XD","0","@isaohmushoom-rk8fk","true","false","false","false","","false",""
"1 month ago","Mee 🙋","0","@Alex-ne6ps","true","false","false","false","","false",""
"1 month ago","Rip 🪦 last rewind","3","@lihui9117","false","false","false","false","","false",""
"1 month ago","for anyone blanked out, this video as of 2024.4.19 9:31 has 204 mill dislikes","3","@mfahz4067","false","false","false","false","","false",""
"1 month ago","How can you tell?","0","@hensen5309","true","false","false","false","","false",""
"1 month ago"," @hensen5309  chrome extension called ""Return YouTube Dislike""","0","@mfahz4067","true","false","false","false","","false",""
"1 month ago","yes guys this video has 9 billion dislikes","0","@That1OrdinaryGuy","true","false","false","false","","false",""
"1 month ago","20m dislikes now for those that dont have the extension.","3","@Alsonameholder","false","false","false","false","","false",""
"1 month ago","Behold, the most disliked video on the planet...","3","@tempgamefreakgaming","false","false","false","false","","false",""
"10 hours ago","Soon enough, the (invisible) dislikes will be at 20M","2","@Sapphire4427","false","false","false","false","","false",""
"10 hours ago","I'm honestly surprised they didn't remove comments on this video.","2","@Zaiqahal","false","false","false","false","","false",""
"1 day ago","🅘'🅜 🅞🅝🅛🅨 🅗🅔🅡🅔 🅕🅞🅡 🅣🅗🅔 🅞🅓🅓 🅞🅤🅣.","2","@user-ng5zo9ov1b","false","false","false","false","","false",""
"1 day ago","Same 😂","1","@user-lc1ij2xu3z","true","false","false","false","","false",""
"2 days ago","Who else is here because they were told it’s the most disliked YouTube video?","2","@amalittlekidwhodraws9628","false","false","false","false","","false",""
"3 days ago","HOW CAN THIS BE BAD?","2","@Daycarekidscrystalinegamerzfan","false","false","false","false","","false",""
"3 days ago","The biggest ratio of all time","2","@CineverseSculpt","false","false","false","false","","false",""
"3 days ago","Bro why is this so hated it’s not even that bad","2","@Elidagoat210","false","false","false","false","","false",""
"3 days ago","idk 2018  was fire","1","@PAISLEY-MUSIC-OFFICIAL","true","false","false","false","","false",""
"4 days ago","Manual do mundo, whinderson nunes, só os feras neste rewind","2","@playERR0R","false","false","false","false","","false",""
"5 days ago","0:26 0:46 itsfunneh fans (like here ) not forcing  ⬇️","2","@user-ld5we6bz9n","false","false","false","false","","false",""
"6 days ago (edited)","🏅Dislike Leaderboard (June 2024) 1. YouTube Rewind 2018: 20.5M+ 2. Baby Shark Dance: 19M+ 3. Baby (Justin Bieber): 15M+ 4. Johny Johny Yes Papa: 13M+ 5. Bath Song: 12M+","2","@dyylan4516","false","false","false","false","","false",""
"6 days ago","Baby shark views is crazy-","0","@YUKIIDACLOWNN","true","false","false","false","","false",""
"5 days ago"," @YUKIIDACLOWNN  fr","0","@dyylan4516","true","false","false","false","","false",""
"7 days ago","Youtube removing dislikes because their video got the most dislikes on the platform is such a youtube moment.","2","@timeblade","false","false","false","false","","false",""
"7 days ago","Its kinda sad to see Jaiden Animations in the most disliked video. 😔","2","@Tyler195_2.0","false","false","false","false","","false",""
